2022-07-28 16:48:46 INFO [2828:main.c:18] hello,  -- info
2022-07-28 16:48:46 DEBUG [2828:main.c:19] hello,   -- debug
2022-07-28 16:48:46 WARN [2828:main.c:20] hello,  -- warnning
2022-07-28 16:48:46 ERROR [2828:main.c:21] hello,  -- error
2022-07-28 16:48:46 PANIC [2828:main.c:22] hello,  -- panic
2022-07-28 17:21:08 INFO [2930:main.c:20] hello, sys --info
2022-07-28 17:21:08 DEBUG [2930:main.c:21] hello, sys --debug
2022-07-28 17:21:08 WARN [2930:main.c:22] hello, sys --warn
2022-07-28 17:21:08 ERROR [2930:main.c:23] hello, sys --error
2022-07-28 17:21:08 PANIC [2930:main.c:24] hello, sys --panic
2022-07-28 17:23:01 INFO [2951:main.c:20] hello, sys --info
2022-07-28 17:23:01 DEBUG [2951:main.c:21] hello, sys --debug
2022-07-28 17:23:01 WARN [2951:main.c:22] hello, sys --warn
2022-07-28 17:23:01 ERROR [2951:main.c:23] hello, sys --error
2022-07-28 17:23:01 PANIC [2951:main.c:24] hello, sys --panic
2022-07-28 17:23:02 INFO [2955:main.c:20] hello, sys --info
2022-07-28 17:23:02 DEBUG [2955:main.c:21] hello, sys --debug
2022-07-28 17:23:02 WARN [2955:main.c:22] hello, sys --warn
2022-07-28 17:23:02 ERROR [2955:main.c:23] hello, sys --error
2022-07-28 17:23:02 PANIC [2955:main.c:24] hello, sys --panic
2022-07-28 17:23:03 INFO [2958:main.c:20] hello, sys --info
2022-07-28 17:23:03 DEBUG [2958:main.c:21] hello, sys --debug
2022-07-28 17:23:03 WARN [2958:main.c:22] hello, sys --warn
2022-07-28 17:23:03 ERROR [2958:main.c:23] hello, sys --error
2022-07-28 17:23:03 PANIC [2958:main.c:24] hello, sys --panic
2022-07-28 17:23:04 INFO [2961:main.c:20] hello, sys --info
2022-07-28 17:23:04 DEBUG [2961:main.c:21] hello, sys --debug
2022-07-28 17:23:04 WARN [2961:main.c:22] hello, sys --warn
2022-07-28 17:23:04 ERROR [2961:main.c:23] hello, sys --error
2022-07-28 17:23:04 PANIC [2961:main.c:24] hello, sys --panic
2022-07-28 17:23:05 INFO [2964:main.c:20] hello, sys --info
2022-07-28 17:23:05 DEBUG [2964:main.c:21] hello, sys --debug
2022-07-28 17:23:05 WARN [2964:main.c:22] hello, sys --warn
2022-07-28 17:23:05 ERROR [2964:main.c:23] hello, sys --error
2022-07-28 17:23:05 PANIC [2964:main.c:24] hello, sys --panic
2022-07-28 17:23:06 INFO [2967:main.c:20] hello, sys --info
2022-07-28 17:23:06 DEBUG [2967:main.c:21] hello, sys --debug
2022-07-28 17:23:06 WARN [2967:main.c:22] hello, sys --warn
2022-07-28 17:23:06 ERROR [2967:main.c:23] hello, sys --error
2022-07-28 17:23:06 PANIC [2967:main.c:24] hello, sys --panic
2022-07-28 17:23:07 INFO [2970:main.c:20] hello, sys --info
2022-07-28 17:23:07 DEBUG [2970:main.c:21] hello, sys --debug
2022-07-28 17:23:07 WARN [2970:main.c:22] hello, sys --warn
2022-07-28 17:23:07 ERROR [2970:main.c:23] hello, sys --error
2022-07-28 17:23:07 PANIC [2970:main.c:24] hello, sys --panic
2022-07-28 17:23:08 INFO [2973:main.c:20] hello, sys --info
2022-07-28 17:23:08 DEBUG [2973:main.c:21] hello, sys --debug
2022-07-28 17:23:08 WARN [2973:main.c:22] hello, sys --warn
2022-07-28 17:23:08 ERROR [2973:main.c:23] hello, sys --error
2022-07-28 17:23:08 PANIC [2973:main.c:24] hello, sys --panic
2022-07-28 17:23:09 INFO [2976:main.c:20] hello, sys --info
2022-07-28 17:23:09 DEBUG [2976:main.c:21] hello, sys --debug
2022-07-28 17:23:09 WARN [2976:main.c:22] hello, sys --warn
2022-07-28 17:23:09 ERROR [2976:main.c:23] hello, sys --error
2022-07-28 17:23:09 PANIC [2976:main.c:24] hello, sys --panic
2022-07-28 17:23:10 INFO [2979:main.c:20] hello, sys --info
2022-07-28 17:23:10 DEBUG [2979:main.c:21] hello, sys --debug
2022-07-28 17:23:10 WARN [2979:main.c:22] hello, sys --warn
2022-07-28 17:23:10 ERROR [2979:main.c:23] hello, sys --error
2022-07-28 17:23:10 PANIC [2979:main.c:24] hello, sys --panic
2022-07-28 17:23:11 INFO [2982:main.c:20] hello, sys --info
2022-07-28 17:23:11 DEBUG [2982:main.c:21] hello, sys --debug
2022-07-28 17:23:11 WARN [2982:main.c:22] hello, sys --warn
2022-07-28 17:23:11 ERROR [2982:main.c:23] hello, sys --error
2022-07-28 17:23:11 PANIC [2982:main.c:24] hello, sys --panic
2022-07-28 17:23:12 INFO [2985:main.c:20] hello, sys --info
2022-07-28 17:23:12 DEBUG [2985:main.c:21] hello, sys --debug
2022-07-28 17:23:12 WARN [2985:main.c:22] hello, sys --warn
2022-07-28 17:23:12 ERROR [2985:main.c:23] hello, sys --error
2022-07-28 17:23:12 PANIC [2985:main.c:24] hello, sys --panic
2022-07-28 17:23:13 INFO [2988:main.c:20] hello, sys --info
2022-07-28 17:23:13 DEBUG [2988:main.c:21] hello, sys --debug
2022-07-28 17:23:13 WARN [2988:main.c:22] hello, sys --warn
2022-07-28 17:23:13 ERROR [2988:main.c:23] hello, sys --error
2022-07-28 17:23:13 PANIC [2988:main.c:24] hello, sys --panic
2022-07-28 17:23:14 INFO [2991:main.c:20] hello, sys --info
2022-07-28 17:23:14 DEBUG [2991:main.c:21] hello, sys --debug
2022-07-28 17:23:14 WARN [2991:main.c:22] hello, sys --warn
2022-07-28 17:23:14 ERROR [2991:main.c:23] hello, sys --error
2022-07-28 17:23:14 PANIC [2991:main.c:24] hello, sys --panic
2022-07-28 17:23:15 INFO [2994:main.c:20] hello, sys --info
2022-07-28 17:23:15 DEBUG [2994:main.c:21] hello, sys --debug
2022-07-28 17:23:15 WARN [2994:main.c:22] hello, sys --warn
2022-07-28 17:23:15 ERROR [2994:main.c:23] hello, sys --error
2022-07-28 17:23:15 PANIC [2994:main.c:24] hello, sys --panic
2022-07-28 17:23:16 INFO [2997:main.c:20] hello, sys --info
2022-07-28 17:23:16 DEBUG [2997:main.c:21] hello, sys --debug
2022-07-28 17:23:16 WARN [2997:main.c:22] hello, sys --warn
2022-07-28 17:23:16 ERROR [2997:main.c:23] hello, sys --error
2022-07-28 17:23:16 PANIC [2997:main.c:24] hello, sys --panic
2022-07-28 17:23:17 INFO [3000:main.c:20] hello, sys --info
2022-07-28 17:23:17 DEBUG [3000:main.c:21] hello, sys --debug
2022-07-28 17:23:17 WARN [3000:main.c:22] hello, sys --warn
2022-07-28 17:23:17 ERROR [3000:main.c:23] hello, sys --error
2022-07-28 17:23:17 PANIC [3000:main.c:24] hello, sys --panic
2022-07-28 17:23:18 INFO [3014:main.c:20] hello, sys --info
2022-07-28 17:23:18 DEBUG [3014:main.c:21] hello, sys --debug
2022-07-28 17:23:18 WARN [3014:main.c:22] hello, sys --warn
2022-07-28 17:23:18 ERROR [3014:main.c:23] hello, sys --error
2022-07-28 17:23:18 PANIC [3014:main.c:24] hello, sys --panic
2022-07-28 17:23:19 INFO [3017:main.c:20] hello, sys --info
2022-07-28 17:23:19 DEBUG [3017:main.c:21] hello, sys --debug
2022-07-28 17:23:19 WARN [3017:main.c:22] hello, sys --warn
2022-07-28 17:23:19 ERROR [3017:main.c:23] hello, sys --error
2022-07-28 17:23:19 PANIC [3017:main.c:24] hello, sys --panic
2022-07-28 17:23:20 INFO [3020:main.c:20] hello, sys --info
2022-07-28 17:23:20 DEBUG [3020:main.c:21] hello, sys --debug
2022-07-28 17:23:20 WARN [3020:main.c:22] hello, sys --warn
2022-07-28 17:23:20 ERROR [3020:main.c:23] hello, sys --error
2022-07-28 17:23:20 PANIC [3020:main.c:24] hello, sys --panic
2022-07-28 17:23:21 INFO [3023:main.c:20] hello, sys --info
2022-07-28 17:23:21 DEBUG [3023:main.c:21] hello, sys --debug
2022-07-28 17:23:21 WARN [3023:main.c:22] hello, sys --warn
2022-07-28 17:23:21 ERROR [3023:main.c:23] hello, sys --error
2022-07-28 17:23:21 PANIC [3023:main.c:24] hello, sys --panic
2022-07-28 17:23:22 INFO [3026:main.c:20] hello, sys --info
2022-07-28 17:23:22 DEBUG [3026:main.c:21] hello, sys --debug
2022-07-28 17:23:22 WARN [3026:main.c:22] hello, sys --warn
2022-07-28 17:23:22 ERROR [3026:main.c:23] hello, sys --error
2022-07-28 17:23:22 PANIC [3026:main.c:24] hello, sys --panic
2022-07-28 17:23:23 INFO [3029:main.c:20] hello, sys --info
2022-07-28 17:23:23 DEBUG [3029:main.c:21] hello, sys --debug
2022-07-28 17:23:23 WARN [3029:main.c:22] hello, sys --warn
2022-07-28 17:23:23 ERROR [3029:main.c:23] hello, sys --error
2022-07-28 17:23:23 PANIC [3029:main.c:24] hello, sys --panic
2022-07-28 17:23:24 INFO [3032:main.c:20] hello, sys --info
2022-07-28 17:23:24 DEBUG [3032:main.c:21] hello, sys --debug
2022-07-28 17:23:24 WARN [3032:main.c:22] hello, sys --warn
2022-07-28 17:23:24 ERROR [3032:main.c:23] hello, sys --error
2022-07-28 17:23:24 PANIC [3032:main.c:24] hello, sys --panic
2022-07-28 17:23:25 INFO [3036:main.c:20] hello, sys --info
2022-07-28 17:23:25 DEBUG [3036:main.c:21] hello, sys --debug
2022-07-28 17:23:25 WARN [3036:main.c:22] hello, sys --warn
2022-07-28 17:23:25 ERROR [3036:main.c:23] hello, sys --error
2022-07-28 17:23:25 PANIC [3036:main.c:24] hello, sys --panic
2022-07-28 17:23:26 INFO [3039:main.c:20] hello, sys --info
2022-07-28 17:23:26 DEBUG [3039:main.c:21] hello, sys --debug
2022-07-28 17:23:26 WARN [3039:main.c:22] hello, sys --warn
2022-07-28 17:23:26 ERROR [3039:main.c:23] hello, sys --error
2022-07-28 17:23:26 PANIC [3039:main.c:24] hello, sys --panic
2022-07-28 17:23:27 INFO [3042:main.c:20] hello, sys --info
2022-07-28 17:23:27 DEBUG [3042:main.c:21] hello, sys --debug
2022-07-28 17:23:27 WARN [3042:main.c:22] hello, sys --warn
2022-07-28 17:23:27 ERROR [3042:main.c:23] hello, sys --error
2022-07-28 17:23:27 PANIC [3042:main.c:24] hello, sys --panic
2022-07-28 17:23:28 INFO [3045:main.c:20] hello, sys --info
2022-07-28 17:23:28 DEBUG [3045:main.c:21] hello, sys --debug
2022-07-28 17:23:28 WARN [3045:main.c:22] hello, sys --warn
2022-07-28 17:23:28 ERROR [3045:main.c:23] hello, sys --error
2022-07-28 17:23:28 PANIC [3045:main.c:24] hello, sys --panic
2022-07-28 17:23:29 INFO [3048:main.c:20] hello, sys --info
2022-07-28 17:23:29 DEBUG [3048:main.c:21] hello, sys --debug
2022-07-28 17:23:29 WARN [3048:main.c:22] hello, sys --warn
2022-07-28 17:23:29 ERROR [3048:main.c:23] hello, sys --error
2022-07-28 17:23:29 PANIC [3048:main.c:24] hello, sys --panic
2022-07-28 17:23:57 INFO [3058:main.c:20] hello, sys --info
2022-07-28 17:23:57 DEBUG [3058:main.c:21] hello, sys --debug
2022-07-28 17:23:57 WARN [3058:main.c:22] hello, sys --warn
2022-07-28 17:23:57 ERROR [3058:main.c:23] hello, sys --error
2022-07-28 17:23:57 PANIC [3058:main.c:24] hello, sys --panic
2022-07-28 17:24:01 INFO [3062:main.c:20] hello, sys --info
2022-07-28 17:24:01 DEBUG [3062:main.c:21] hello, sys --debug
2022-07-28 17:24:01 WARN [3062:main.c:22] hello, sys --warn
2022-07-28 17:24:01 ERROR [3062:main.c:23] hello, sys --error
2022-07-28 17:24:01 PANIC [3062:main.c:24] hello, sys --panic
2022-07-28 17:24:02 INFO [3065:main.c:20] hello, sys --info
2022-07-28 17:24:02 DEBUG [3065:main.c:21] hello, sys --debug
2022-07-28 17:24:02 WARN [3065:main.c:22] hello, sys --warn
2022-07-28 17:24:02 ERROR [3065:main.c:23] hello, sys --error
2022-07-28 17:24:02 PANIC [3065:main.c:24] hello, sys --panic
2022-07-28 17:24:03 INFO [3068:main.c:20] hello, sys --info
2022-07-28 17:24:03 DEBUG [3068:main.c:21] hello, sys --debug
2022-07-28 17:24:03 WARN [3068:main.c:22] hello, sys --warn
2022-07-28 17:24:03 ERROR [3068:main.c:23] hello, sys --error
2022-07-28 17:24:03 PANIC [3068:main.c:24] hello, sys --panic
2022-07-28 17:24:04 INFO [3071:main.c:20] hello, sys --info
2022-07-28 17:24:04 DEBUG [3071:main.c:21] hello, sys --debug
2022-07-28 17:24:04 WARN [3071:main.c:22] hello, sys --warn
2022-07-28 17:24:04 ERROR [3071:main.c:23] hello, sys --error
2022-07-28 17:24:04 PANIC [3071:main.c:24] hello, sys --panic
2022-07-28 17:24:05 INFO [3074:main.c:20] hello, sys --info
2022-07-28 17:24:05 DEBUG [3074:main.c:21] hello, sys --debug
2022-07-28 17:24:05 WARN [3074:main.c:22] hello, sys --warn
2022-07-28 17:24:05 ERROR [3074:main.c:23] hello, sys --error
2022-07-28 17:24:05 PANIC [3074:main.c:24] hello, sys --panic
2022-07-28 17:24:06 INFO [3077:main.c:20] hello, sys --info
2022-07-28 17:24:06 DEBUG [3077:main.c:21] hello, sys --debug
2022-07-28 17:24:06 WARN [3077:main.c:22] hello, sys --warn
2022-07-28 17:24:06 ERROR [3077:main.c:23] hello, sys --error
2022-07-28 17:24:06 PANIC [3077:main.c:24] hello, sys --panic
2022-07-28 17:24:07 INFO [3080:main.c:20] hello, sys --info
2022-07-28 17:24:07 DEBUG [3080:main.c:21] hello, sys --debug
2022-07-28 17:24:07 WARN [3080:main.c:22] hello, sys --warn
2022-07-28 17:24:07 ERROR [3080:main.c:23] hello, sys --error
2022-07-28 17:24:07 PANIC [3080:main.c:24] hello, sys --panic
2022-07-28 17:24:08 INFO [3083:main.c:20] hello, sys --info
2022-07-28 17:24:08 DEBUG [3083:main.c:21] hello, sys --debug
2022-07-28 17:24:08 WARN [3083:main.c:22] hello, sys --warn
2022-07-28 17:24:08 ERROR [3083:main.c:23] hello, sys --error
2022-07-28 17:24:08 PANIC [3083:main.c:24] hello, sys --panic
2022-07-28 17:24:09 INFO [3086:main.c:20] hello, sys --info
2022-07-28 17:24:09 DEBUG [3086:main.c:21] hello, sys --debug
2022-07-28 17:24:09 WARN [3086:main.c:22] hello, sys --warn
2022-07-28 17:24:09 ERROR [3086:main.c:23] hello, sys --error
2022-07-28 17:24:09 PANIC [3086:main.c:24] hello, sys --panic
2022-07-28 17:24:10 INFO [3089:main.c:20] hello, sys --info
2022-07-28 17:24:10 DEBUG [3089:main.c:21] hello, sys --debug
2022-07-28 17:24:10 WARN [3089:main.c:22] hello, sys --warn
2022-07-28 17:24:10 ERROR [3089:main.c:23] hello, sys --error
2022-07-28 17:24:10 PANIC [3089:main.c:24] hello, sys --panic
2022-07-28 17:24:11 INFO [3092:main.c:20] hello, sys --info
2022-07-28 17:24:11 DEBUG [3092:main.c:21] hello, sys --debug
2022-07-28 17:24:11 WARN [3092:main.c:22] hello, sys --warn
2022-07-28 17:24:11 ERROR [3092:main.c:23] hello, sys --error
2022-07-28 17:24:11 PANIC [3092:main.c:24] hello, sys --panic
2022-07-28 17:24:12 INFO [3104:main.c:20] hello, sys --info
2022-07-28 17:24:12 DEBUG [3104:main.c:21] hello, sys --debug
2022-07-28 17:24:12 WARN [3104:main.c:22] hello, sys --warn
2022-07-28 17:24:12 ERROR [3104:main.c:23] hello, sys --error
2022-07-28 17:24:12 PANIC [3104:main.c:24] hello, sys --panic
2022-07-28 17:24:13 INFO [3107:main.c:20] hello, sys --info
2022-07-28 17:24:13 DEBUG [3107:main.c:21] hello, sys --debug
2022-07-28 17:24:13 WARN [3107:main.c:22] hello, sys --warn
2022-07-28 17:24:13 ERROR [3107:main.c:23] hello, sys --error
2022-07-28 17:24:13 PANIC [3107:main.c:24] hello, sys --panic
2022-07-28 17:24:14 INFO [3110:main.c:20] hello, sys --info
2022-07-28 17:24:14 DEBUG [3110:main.c:21] hello, sys --debug
2022-07-28 17:24:14 WARN [3110:main.c:22] hello, sys --warn
2022-07-28 17:24:14 ERROR [3110:main.c:23] hello, sys --error
2022-07-28 17:24:14 PANIC [3110:main.c:24] hello, sys --panic
2022-07-28 17:24:15 INFO [3113:main.c:20] hello, sys --info
2022-07-28 17:24:15 DEBUG [3113:main.c:21] hello, sys --debug
2022-07-28 17:24:15 WARN [3113:main.c:22] hello, sys --warn
2022-07-28 17:24:15 ERROR [3113:main.c:23] hello, sys --error
2022-07-28 17:24:15 PANIC [3113:main.c:24] hello, sys --panic
2022-07-28 17:24:16 INFO [3116:main.c:20] hello, sys --info
