2022-07-28 18:18:04 ERROR [12818:main.c:23] hello, sys --error
2022-07-28 18:18:04 PANIC [12818:main.c:24] hello, sys --panic
2022-07-28 18:18:06 INFO [12821:main.c:20] hello, sys --info
2022-07-28 18:18:06 DEBUG [12821:main.c:21] hello, sys --debug
2022-07-28 18:18:06 WARN [12821:main.c:22] hello, sys --warn
2022-07-28 18:18:06 ERROR [12821:main.c:23] hello, sys --error
2022-07-28 18:18:06 PANIC [12821:main.c:24] hello, sys --panic
2022-07-28 18:18:07 INFO [12824:main.c:20] hello, sys --info
2022-07-28 18:18:07 DEBUG [12824:main.c:21] hello, sys --debug
2022-07-28 18:18:07 WARN [12824:main.c:22] hello, sys --warn
2022-07-28 18:18:07 ERROR [12824:main.c:23] hello, sys --error
2022-07-28 18:18:07 PANIC [12824:main.c:24] hello, sys --panic
2022-07-28 18:18:08 INFO [12827:main.c:20] hello, sys --info
2022-07-28 18:18:08 DEBUG [12827:main.c:21] hello, sys --debug
2022-07-28 18:18:08 WARN [12827:main.c:22] hello, sys --warn
2022-07-28 18:18:08 ERROR [12827:main.c:23] hello, sys --error
2022-07-28 18:18:08 PANIC [12827:main.c:24] hello, sys --panic
2022-07-28 18:18:09 INFO [12830:main.c:20] hello, sys --info
2022-07-28 18:18:09 DEBUG [12830:main.c:21] hello, sys --debug
2022-07-28 18:18:09 WARN [12830:main.c:22] hello, sys --warn
2022-07-28 18:18:09 ERROR [12830:main.c:23] hello, sys --error
2022-07-28 18:18:09 PANIC [12830:main.c:24] hello, sys --panic
2022-07-28 18:18:10 INFO [12833:main.c:20] hello, sys --info
2022-07-28 18:18:10 DEBUG [12833:main.c:21] hello, sys --debug
2022-07-28 18:18:10 WARN [12833:main.c:22] hello, sys --warn
2022-07-28 18:18:10 ERROR [12833:main.c:23] hello, sys --error
2022-07-28 18:18:10 PANIC [12833:main.c:24] hello, sys --panic
2022-07-28 18:18:11 INFO [12836:main.c:20] hello, sys --info
2022-07-28 18:18:11 DEBUG [12836:main.c:21] hello, sys --debug
2022-07-28 18:18:11 WARN [12836:main.c:22] hello, sys --warn
2022-07-28 18:18:11 ERROR [12836:main.c:23] hello, sys --error
2022-07-28 18:18:11 PANIC [12836:main.c:24] hello, sys --panic
2022-07-28 18:18:12 INFO [12839:main.c:20] hello, sys --info
2022-07-28 18:18:12 DEBUG [12839:main.c:21] hello, sys --debug
2022-07-28 18:18:12 WARN [12839:main.c:22] hello, sys --warn
2022-07-28 18:18:12 ERROR [12839:main.c:23] hello, sys --error
2022-07-28 18:18:12 PANIC [12839:main.c:24] hello, sys --panic
2022-07-28 18:18:13 INFO [12842:main.c:20] hello, sys --info
2022-07-28 18:18:13 DEBUG [12842:main.c:21] hello, sys --debug
2022-07-28 18:18:13 WARN [12842:main.c:22] hello, sys --warn
2022-07-28 18:18:13 ERROR [12842:main.c:23] hello, sys --error
